,Cell Methods,label,title,uid,Brand ID,Regex,Mask,Brand tag,Cell Methods Rollup (from Comments)
recfq9CqTb6R2U1l5,area: mean time: sum,amn-ts,Area Mean and Time Sum,CellMethods::am-ts,x,1.0,,tsum,
recgyKgOmMbUgk4Ce,area: mean where air time: point,amna-tpt,Instantaneous Value on Levels above Ground,CellMethods::amna-tpt,,,,,
rechhy6KHmOcnIBFU,area: mean time: maximum,amn-tmax,Time Maximum,CellMethods::tmax,x,1.0,,tstat,
reciJ5K9FFJO5StB8,area: mean time: maximum within days time: mean over days,amn-dmax,Daily Maximum,CellMethods::dmax,x,1.0,,tstat,
reciKnzSdlizSXox0,area: time: mean where crops (comment: mask=cropFrac),amc-twm,Weighted Time Mean on Crops,CellMethods::amc-twm,crp,1.0,cropFrac,,
recikI5axFizPaxLg,area: time: mean,am-twm,Area and Time Mean,CellMethods::am-tm,x,1.0,,,
recinm4MMURWR8GQq,area: mean where land over all_area_types time: point,amnlax-tpt,Contribution from Land (Instantaneous),CellMethods::amlax-tpt,lnd,1.0,,,
recj82upWagLqGWER,area: time: mean where air,ama-twm,Weighted Time Mean in Air,CellMethods::ama-twm,x,,,,
recjMrtWEdKAHFKTH,area: mean where crops time: minimum within days time: mean over days,amncrp-dmin,Daily Minimum over Crops,CellMethods::dminc,crp,1.0,,tstat,
reckiGsKHgQPZqTDc,area: time: mean where sea_ice_melt_pond (comment: mask=simpconc),amnsimp-twm,Weighted Time Mean in Sea-Ice Melt Ponds,CellMethods::amnsimp-twm,simp,1.0,simpconc,,
reckjcGgzzCltlhoD,area: time: mean (comment: over land and sea ice),amnlsi-twm,Weighted TIme Mean Excluding Ice-free Ocean,CellMethods::amnlsi-twm,x,1.0,,,
recmJmBze6Q7FqEVP,area: time: mean where natural_grasses (comment: mask=grassFrac),amng-twm,Weighted Time Mean on Natural Grasses,CellMethods::amng-twm,ng,1.0,grassFrac,,
recnSauaAzN5AcbyB,area: mean time: mean within years time: mean over years,amn-clim,Annual Climatology,CellMethods::aclim,x,1.0,,,
recoQ55iF8RIBzPRs,area: mean time: mean within hours time: maximum over hours,amn-tmh,Maximum Hourly Rate,CellMethods::am-tmh,x,1.0,,tstat,
recob5edAUZgh8jPS,area: mean where crops time: maximum,amncrp-tmax,Time Maximum over Crops,CellMethods::tmaxc,crp,1.0,,tstat,
recopCBVaFXzW6vHf,area: time: mean where sea_ice_ridges (comment: mask=sirdgconc),amnsirdg-twm,Weighted Time Mean on Sea-Ice Rdges,CellMethods::amnsirdg-twm,sir,1.0,sirdgconc,,
recpJFt9qlhSX8odm,area: mean where sea time: mean,amns-tmn,Time Mean over Sea,CellMethods::amse-tmn,sea,1.0,,,
recppqC575nzhrnXJ,area: mean,amn-fx,Fixed Area Mean,CellMethods::amn-fx,x,1.0,,,
recqAwUY8gDlo8Zam,area: mean where ice_free_sea over sea time: mean,amnifs-tmn,Partial Mean over Ice-Free sea,CellMethods::amnifs-tmn,ifs,1.0,,,
recrrZMwfaPRiLocO,area: time: mean where snow (comment: mask=snc),amnsnla-twm,Weighted Time Mean in over Snow and Ice-Covered Land,CellMethods::amnsnla-twm,sn,1.0,snc,,
recszKgA67eUKVbFV,area: time: mean where sea_ice (comment: mask=siitdconc),amnsib-twm,Weighted Time Mean in Sea-Ice Thickness Bands,CellMethods::amnsib-twm,si,1.0,siitdconc,,
rectpWcjNzWSWEhvo,area: time: mean where pastures (comment: mask=pastureFrac),amp-twm,Weighted Time Mean on Pastures,CellMethods::amp-twm,pst,1.0,pastureFrac,,
recvKMTfk7wqZEDig,area: time: mean where grounded_ice_sheet (comment: mask=sfgrlf),amngi-twmn,Weighted Time Mean on Grounded Ice Sheet,CellMethods::amngi-twmn,gis,1.0,sftgrf,,
recw2P7dIoSLBoQMB,area: point time: point,apt-tpt,Instantaneous Point Values,CellMethods::apt-tpt,x,1.0,,,
recwqOux1egZJBOlm,longitude: mean time: point,zmean-tpt,Zonal Mean,CellMethods::zmean-tpt,x,1.0,,,
recwuB1SPBkasIB7D,area: mean where crops time: minimum,amncrp-tmin,Temporal Minimum over Crops,CellMethods::tminc,crp,1.0,,tstat,
reczgcunQcEc3Pcy7,area: time: mean where shrubs (comment: mask=shrubFrac),ams-twm,Weighted Time Mean on Shrubs,CellMethods::ams-twm,shb,1.0,shrubFrac,,
reczwvHFZ7bGsEmCM,area: mean where crops time: maximum within days time: mean over days,amncrp-dmax,Daily Maximum over Crops,CellMethods::dmaxc,crp,1.0,,tstat,
reczxK3SCSq1vFJiH,time: mean,amn-tm,Time Mean,CellMethods::tmean,x,1.0,,,
