,Name,MIP Variables (from CMOR Variables),CF Standard Name (from MIP Variables) 2 (from CMOR Variables),Title (from CMOR Variables),Structure Title (from CMOR Variables),Shortlist,V1.1,Version 1.2,Version 1.3,Summary,v1.3 (standard(,Modeling Realm (from CMOR Variables),Fixed,History,V1.3 (high)
recdWd9mHzQgCoxlX,6hrLev.ua,,,,,6hrLev.ua,,,,Summary,,,,,
receFaPHOD8sMd3W5,Amon.prc,prc,convective_precipitation_flux,Convective Precipitation,Time and Area Mean on Single Level,Amon.prc,Amon.prc,True,True,Summary,Amon.prc,atmos,,,
receKaOZ606stPkkL,Ofx.thkcello,thkcello,cell_thickness,Ocean Model Cell Thickness,"""Model Configuration Field on Ocean-Model Levels, Area Mean""",,Ofx.thkcello,True,True,Summary,,ocean,True,,
recePRNYereyefbBi,Ofx.deptho,deptho,sea_floor_depth_below_geoid,Sea Floor Depth Below Geoid,"""Model Configuration Field on Sea Floor, Area Mean, Masked (Sea)""",Ofx.deptho,Ofx.deptho,True,True,Summary,,ocean,True,,
receT0uz7TEaNpaoa,day.tasmax,tasmax,air_temperature,Daily Maximum Near-Surface Air Temperature,"""Temporal Maximum, Near-Surface Field (2m)""",day.tasmax,day.tasmax,True,True,Summary,day.tasmax,atmos,,,
recesrzHJxIC3KTlw,Amon.hfls,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,Time and Area Mean on Single Level,Amon.hfls,Amon.hfls,True,True,Summary,Amon.hfls,atmos,,,
recf1GPLSbii5prQT,Omon.wmo,wmo,upward_ocean_mass_transport,Upward Ocean Mass Transport,"""Temporal mean, Global ocean field on model levels [XY-O] [asm-tmean]""",Omon.wmo,Omon.wmo,True,True,Summary,,ocean,,,Omon.wmo
recfuuLj2oH2RV8w1,Amon.rsds,rsds,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsds,Amon.rsds,True,True,Summary,Amon.rsds,atmos,,,
recg54sa75Uin1n2v,3hr.pr,pr,precipitation_flux,Precipitation,Time and Area Mean on Single Level,3hr.pr,3hr.pr,True,True,Summary,,atmos,,,3hr.pr
recg8yQ8tmdlc1dZs,Amon.va,va,northward_wind,Northward Wind,Time-Mean on 19 Pressure Levels,Amon.va,Amon.va,True,True,Summary,Amon.va,atmos,,,
recgLRLuwPIbHQB2L,3hr.uas,uas,eastward_wind,Eastward Near-Surface Wind,Synoptic Near-Surface Field (10m),3hr.uas,3hr.uas,True,True,Summary,,atmos,,,3hr.uas
recgZ4uvQDxkHAM87,Amon.hurs,hurs,relative_humidity,Near-Surface Relative Humidity,Time-Mean Near-Surface Field (2m),Amon.hurs,Amon.hurs,True,True,Summary,Amon.hurs,atmos,,,
rechCMxObSbqwVwLQ,Amon.prsn,prsn,snowfall_flux,Snowfall Flux,Time and Area Mean on Single Level,Amon.prsn,Amon.prsn,True,True,Summary,Amon.prsn,atmos,,,
reciCbMtlJZW9cIxZ,Omon.vmo,vmo,ocean_mass_y_transport,Ocean Mass Y Transport,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.vmo,Omon.vmo,True,True,Summary,,ocean,,,Omon.vmo
recibFFonIhW9Buu0,Amon.psl,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,Time and Area Mean on Single Level,Amon.psl,Amon.psl,True,True,Summary,Amon.psl,atmos,,,
recitslXonyYoTdQr,Amon.tauu,tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Time and Area Mean on Single Level,Amon.tauu,Amon.tauu,True,True,Summary,Amon.tauu,atmos,,,
recjaQjPni75Fa6Fr,Efx.rld,,,,,Efx.rld,,,,Summary,,,,,
recjbI5k4n2izs8hm,Amon.evspsbl,evspsbl,water_evapotranspiration_flux,Evaporation Including Sublimation and Transpiration,Time and Area Mean on Single Level,Amon.evspsbl,Amon.evspsbl,True,True,Summary,Amon.evspsbl,atmos,,,
recjqoAP8QnIXW9vZ,6hrPlev.hurs,hurs,relative_humidity,Near-Surface Relative Humidity,Time-Mean Near-Surface Field (2m),6hrPlev.hurs,6hrPlev.hurs,True,True,Summary,,atmos,,,6hrPlev.hurs
recjsQhE5xBtrEpt6,Lmon.mrfso,mrfso,soil_frozen_water_content,Soil Frozen Water Content,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.mrfso,Lmon.mrfso,True,True,Summary,Lmon.mrfso,"land, landIce",,,
reck4kXynqkXLLjqg,fx.rootd,rootd,root_depth,Maximum Root Depth,Model Configuration Field,fx.rootd,fx.rootd,True,True,Summary,,land,True,,
reckQkpOYlUjgT5eq,Amon.rlutcs,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,Time and Area Mean on Single Level,Amon.rlutcs,Amon.rlutcs,True,True,Summary,Amon.rlutcs,atmos,,,
