,Name,New Names,Status,Title,Alternative Label,Comment,UID,Description
reclVebyYqwmhNWkU,E6hrZ,['6hrZ'],Deprecated,6-hourly Zonal Mean (extension),em6hrZ,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf1-8c97-11ef-944e-41a8eb05f654,
reclZhOYyUm6VE0r9,ImonGre,['LImon'],,Monthly fields on the Greenland ice sheet,LImongre,,527f5cfd-8c97-11ef-944e-41a8eb05f654,
reclygO13oxFGmc0I,AERfx,['fx'],,Fixed atmospheric chemistry and aerosol data,aerfixed,,527f5ce1-8c97-11ef-944e-41a8eb05f654,
recmB8t4dzORUUxJI,EdayZ,['dayZ'],,Daily Zonal Mean (extension),emDayZ,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf3-8c97-11ef-944e-41a8eb05f654,
recmKqZKCyHHuUjCh,SIday,['Siday'],,Daily sea-ice data,SIday,,527f5d08-8c97-11ef-944e-41a8eb05f654,
recmykmEOcWZ9rPLp,Efx,['fx'],,Fixed (extension),emFx,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf4-8c97-11ef-944e-41a8eb05f654,
recnfrONjacZ6ASLf,IfxAnt,['fx'],,Fixed fields on the Antarctic ice sheet,LIfxant,,527f5cfa-8c97-11ef-944e-41a8eb05f654,
recoYVnixKA3seVcC,Oclim,['Oclim'],,Monthly climatologies of ocean data,Oclim,"Ocean climatologies,  12 monthly values, averaged over the time period requested.",527f5d02-8c97-11ef-944e-41a8eb05f654,Monthly Mean Climatology
recpsnDjJLTeInpni,6hrPlev,['6hrPlev'],,6-hourly atmospheric data on pressure levels (time mean),6hrPlev,,527f5cdd-8c97-11ef-944e-41a8eb05f654,
recq5P0gfywXKDYa0,Eday,"['day', 'Lday']",,"Daily (time mean, extension)",emDay,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf2-8c97-11ef-944e-41a8eb05f654,
recrLqA1rK7eGzn3I,Emon,,,"Monthly (time mean, extension)",emMon,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf5-8c97-11ef-944e-41a8eb05f654,
recwNELZxd5JxjLty,Eyr,['Lyr'],,"Daily (time mean, extension)",emYr,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf8-8c97-11ef-944e-41a8eb05f654,
recwlzlbDINCMRHx7,IfxGre,['fx'],,Fixed fields on the Greenland ice sheet,LIfxgre,,527f5cfb-8c97-11ef-944e-41a8eb05f654,
recwnM4lTIKq2LtSn,SImon,['SImon'],,Monthly sea-ice data,SImon,,527f5d09-8c97-11ef-944e-41a8eb05f654,Monthly Mean Ocean Cryosphere Fields
recx54SUeoVKSCnkb,CFsubhr,['CFsubhr'],,Diagnostics for cloud forcing analysis at specific sites,cfSites,,527f5ceb-8c97-11ef-944e-41a8eb05f654,
