,Compound Name,CF Standard Name (from MIP Variables),Title,Description,Type,Modeling Realm,Table,Frequency,Status,Theme,Atmosphere author team review,CMIP7 Variable Groups,UID,Min Rank,Processing Note,Provenance,Priority 2 (CMIP6 - OLD,Priority 1 (CMIP6) -- OLD,Rank by File Count,Rank by Volume,Rank by Submissions,Positive Direction,Impacts & adaptation author team review,Priority 3 (CMIP6 - OLD),Variable is included in ESM-BCV v1.3,Ocean & sea-ice author team review,Cross-thematic team review,Cross-thematic group review comment,Land & land-ice author team review,Priority 2 (CMIP6),Priority 1 (CMIP6),Atmosphere review comment,Priority 3 (CMIP6),Earth system author team review
rec01Ws52088KuxbI,AERmon.abs550so4,atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles,sulfate aaod@550nm,"This is the sulphate aerosol optical depth at 550nm due to absorption
",real,['aerosol'],['AERmon'],['mon'],Under review,['Atmosphere'],In progress,"DAMIP_monthly, aerchemmip_2d_monthly",83bbfc21-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
rec05vvBboMjh9cRo,Omon.friver,water_flux_into_sea_water_from_rivers,Water Flux into Sea Water from Rivers,"computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,"hydrology, dynamical_downscaling_ocean_core, tipmip_extended, omip_surface_fluxes_medium_priority",baa6247a-e5dd-11e5-8482-ac72891c3257,144,"Report on native horizontal grid.
",Omon ((isd.003)),['CMIP5'],"['CMIP', 'PMIP', 'VIACSAB']",188,819,144,,,,,,,,,,,,,
rec07ktCa5ulrddq1,SImon.siflswutop,surface_upwelling_shortwave_flux_in_air,Upwelling Shortwave Flux over Sea Ice,"The upwelling shortwave flux over sea ice (always negative)
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_budget_energy_monthly, paleo_cryosphere, paleo_cryosphere_medium_priority",710ad164-faa7-11e6-bfb7-ac72891c3257,273,,SIMIP [seaicemon],['SIMIP'],"['CMIP', 'PMIP', 'VIACSAB']",661,1063,273,up,,,,,,,,,,,,
rec08X4uO5xpYB5Af,E1hr.sfcWind_dup,wind_speed,Hourly 100m wind speed,"Hourly 100m wind speed
",real,['atmos'],['E1hr'],['1hr'],Under review,"['Atmosphere', 'Impacts & adaptation']",In progress,,83bbfc80-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,In progress,,,,,,,,,,,
rec08pOaFlZDpEbE8,Omon.obvfsq,square_of_brunt_vaisala_frequency_in_sea_water,Square of Brunt Vaisala Frequency in Sea Water,"The phrase ""square\_of\_X"" means X\*X. Frequency is the number of oscillations of a wave per unit time. Brunt-Vaisala frequency is also sometimes called ""buoyancy frequency"" and is a measure of the vertical stratification of the medium.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,"omip_scalar_fields, omip_scalars_high_priority",1aab5d20-b006-11e6-9289-ac72891c3257,86,"Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Omon ((isd.003)),,['CMIP5'],195,86,258,,,,,,,,,,,,,
rec09igKLBvFm7KtJ,IyrGre.xvelmean,land_ice_vertical_mean_x_velocity,X-Component of Land Ice Vertical Mean Velocity,"The vertical mean land ice velocity is the average from the bedrock to the surface of the ice
",real,['landIce'],['IyrGre'],['yr'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b3ea3a-c78d-11e6-9b25-5404a60d96b5,1765,,ISMIP6 [IyrGre],,,1848,1848,1765,,,['ISMIP6'],,,,,,,,,,
rec0Bi96fJH25GCd6,Omon.o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration,"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox\_expressed\_as\_nitrogen'.
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,"marine_bgc_baseline, DCPP_Wider, c4mip_ocean_carbon_cycle_tier1",ba9f9e7a-e5dd-11e5-8482-ac72891c3257,61,"Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.
",Omon ((isd.003)),"['C4MIP', 'CMIP5', 'DAMIP', 'DCPP']",['CMIP'],229,61,402,,,,,,,,,,,,,
rec0BlnLhgJVIYqAs,Amon.psl,air_pressure_at_mean_sea_level,Sea Level Pressure,"not, in general, the same as surface pressure
",real,['atmos'],['Amon'],['mon'],CMIP6 CMOR variable,,,"baseline_monthly, dynvar_basic, DAMIP_monthly, CVDP_input, Hadley_Walker_Circulations, aerchemmip_2d_monthly, paleodata_assimilation, DCPP_Essential, paleo_land_atmosphere_surface, SO_BGC-cloud_met_monthly, FireMIP_monthly, CFMIP_baseline, ref_atmosphere, tipmip_baseline",bab48ce0-e5dd-11e5-8482-ac72891c3257,4,,Amon ((isd.003)),,"['CFMIP', 'CMIP', 'CMIP5', 'DCPP', 'DynVarMIP', 'PMIP', 'VIACSAB']",4,158,5,,,['CDRMIP'],1 checked out of 1,,,,,,,,,
rec0DQ5ondumwI3du,CF3hr.sci,shallow_convection_time_fraction,Fraction of Time Shallow Convection Occurs,"Fraction of time that shallow convection occurs in the grid cell.
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,cfmip_3hr,edbcf72c-4b7f-11e7-903f-5404a60d96b5,1463,"For models with a distinct shallow convection scheme only.
",CFMIP (CMIP5),,['CFMIP'],1835,1828,1463,,,,,,,,,,,,,
rec0DzzViZwPS0qW7,SIday.sitempsnic,sea_ice_surface_temperature,Temperature at Snow-Ice Interface ,"Report surface temperature of ice where snow thickness is zero
",real,['seaIce'],['SIday'],['day'],Accepted,['Ocean & sea-ice'],,"seaice_state_daily_advanced, snow_allfreq",83bbfb28-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,In progress,Accept,MJ: simple change from existing monthly variable to daily.,,,,,,
rec0E9Qound6OeWU8,Eday.lwsnl,liquid_water_content_of_surface_snow,Liquid Water Content of Snow Layer,"liquid\_water\_content\_of\_snow\_layer
",real,"['landIce', 'land']",['Eday'],['day'],CMIP6 CMOR variable,,,snow_allfreq,d228925a-4a9f-11e6-b84e-ac72891c3257,1295,,LS3MIP [LWday],['LS3MIP'],,1398,1405,1295,,,,,,,,,,,,,
rec0EOo5i2kn17rLE,ImonGre.icem,land_ice_surface_melt_flux,Surface Ice Melt Flux,"Loss of ice mass resulting from surface melting. Computed as the total surface melt water on the land ice portion of the grid cell divided by land ice area in the grid cell.
",real,['landIce'],['ImonGre'],['mon'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b2ab98-c78d-11e6-9b25-5404a60d96b5,1419,,ISMIP6 [ImonGre],,,1419,1755,1463,,,['ISMIP6'],,,,,,,,,,
rec0Emb2EEEnq6VoJ,AERhr.ps,surface_air_pressure,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates
",real,['atmos'],['AERhr'],['1hr'],CMIP6 CMOR variable,,,aerchemmip_2d_subdaily,19c071f8-81b1-11e6-92de-ac72891c3257,201,,AERhr ((isd.003)),,['AerChemMIP'],846,201,788,,,,,,,,,,,,,
rec0EoAcT9CLZ7rE7,Odec.sfdsi,downward_sea_ice_basal_salt_flux,Downward Sea Ice Basal Salt Flux,"This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.
",real,"['ocean', 'seaIce']",['Odec'],['dec'],CMIP6 CMOR variable,,,omip_surface_fluxes_high_priority,47960082-bb0b-11e6-8316-5980f7b176d1,1717,"Report on native horizontal grid as well as mapped onto sphere.
",Odec ((isd.003)),,['CMIP5'],1717,1813,1765,down,,,,,,,,,,,,
rec0GFlpza1BI9Z8J,E1hr.hurs,relative_humidity,Hourly relative humidity at the surface,"Hourly relative humidity at 2m above the surface
",real,['atmos'],['E1hr'],['1hr'],Under review,['Impacts & adaptation'],,"AgModelHourly, urban_impacts_additional, HealthPollutionhourly, biodiv_microclim_hourly",83bbfbc7-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,In progress,,,,,,,,,,,
rec0JujJMuezT6LBu,Emon.tasmaxCrop,air_temperature,Daily Maximum Near-Surface Air Temperature over Crop Tile,"maximum near-surface (usually, 2 meter) air temperature (add cell\_method attribute ""time: max"")
",real,['atmos'],['Emon'],['mon'],CMIP6 CMOR variable,,,,124a0c76-c14f-11e6-bb78-ac72891c3257,1364,,VIACSAB [viacsabExtra],,['VIACSAB'],1364,1541,1463,,,,,,,,,,,,,
rec0KOBieRpJagPSe,Oyr.zmeso,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,"carbon  concentration from mesozooplankton (20-200 um) component alone
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,c922fcda-c5e8-11e6-84e6-5404a60d96b5,796,,Oyr ((isd.003)),['VIACSAB'],"['C4MIP', 'CMIP', 'VIACSAB']",796,831,1295,,,"['CMIP5', 'PMIP']",,,,,,,,,,
rec0LMmQla29gSCwF,ImonGre.sbl,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,Surface Snow and Ice Sublimation Flux,"The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere.
",real,['landIce'],['ImonGre'],['mon'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b2a0a8-c78d-11e6-9b25-5404a60d96b5,1399,,ISMIP6 [ImonGre],,['ISMIP6'],1399,1591,1463,,,,,,,,,,,,,
rec0OvXNM2NDcGXqK,Emon.uqint,integral_wrt_height_of_product_of_eastward_wind_and_specific_humidity,Eastward Humidity Transport,"Eastward integrated moisture transport
",real,['atmos'],['Emon'],['mon'],CMIP6 CMOR variable,,,,8badd2a2-4a5b-11e6-9cd2-ac72891c3257,593,,HighResMIP [Amon_ext],,['HighResMIP'],1010,1243,593,,,,,,,,,,,,,
rec0Qq8dV0mIluzew,IfxAnt.areacellg,cell_area,Grid-Cell Area for Ice Sheet Variables,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)
",real,['land'],['IfxAnt'],['fx'],CMIP6 CMOR variable,,,landice_antarctica_allfreq,d5b3804a-c78d-11e6-9b25-5404a60d96b5,9999,,ISMIP6 [IfxAnt],,['ISMIP6'],,,,,,,,,,,,,,,,
rec0SuKJnEYq6noXr,AERday.mmroa,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Total surface organic aerosol ,"The is the daily mean otal organic aerosol mass mixing ratio in lowest model layer
",real,['aerosol'],['AERday'],['day'],Under review,['Atmosphere'],In progress,aerchemmip_2d_daily,83bbfc38-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
rec0VXF0dmpD0QhB7,Lmon.mrro,runoff_flux,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.
",real,['land'],['Lmon'],['mon'],CMIP6 CMOR variable,,,"baseline_monthly, DAMIP_monthly, DCPP_Essential, FireMIP_monthly, WaterResources_monthly, CFMIP_baseline, ref_land_and_landice, tipmip_baseline",bab17a6e-e5dd-11e5-8482-ac72891c3257,35,,Lmon ((isd.003)),['VIACSAB'],"['C4MIP', 'CFMIP', 'CMIP', 'CMIP5', 'DCPP', 'PMIP', 'VIACSAB']",42,491,35,,,,1 checked out of 1,,,,,,,,,
rec0VqfNlpamfEp9W,Odec.so,sea_water_salinity,Sea Water Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. 
",real,['ocean'],['Odec'],['dec'],CMIP6 CMOR variable,,,omip_scalars_high_priority,4795682a-bb0b-11e6-8316-5980f7b176d1,1325,"Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Odec ((isd.003)),,['CMIP5'],1501,1325,1401,,,,,,,,,,,,,
rec0WVMOyH8aRGKdX,Omon.phyfeos,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,"sum of phytoplankton iron component concentrations
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,,c91a0cec-c5e8-11e6-84e6-5404a60d96b5,788,,Omon ((isd.003)),"['CMIP5', 'VIACSAB']",,947,807,788,,,['CMIP5'],,,,,,,,,,
rec0XI5vm28TuOs4S,AERmon.wetnh3,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_wet_deposition,Wet Deposition Rate of NH3,"Surface deposition rate of ammonia (NH3) due to wet processes
",real,['aerosol'],['AERmon'],['mon'],CMIP6 CMOR variable,,,aerchemmip_2d_monthly,19be2a60-81b1-11e6-92de-ac72891c3257,726,,AERmon ((isd.003)),,['AerChemMIP'],726,1406,898,,,,,,,,,,,,,
rec0YKWuUrfQqVS8g,AERmon.emiisop,tendency_of_atmosphere_mass_content_of_isoprene_due_to_emission,Total Emission Rate of Isoprene,"Integrate 3D emission field vertically to 2d field
",real,['aerosol'],['AERmon'],['mon'],CMIP6 CMOR variable,,,aerchemmip_2d_monthly,19c03ecc-81b1-11e6-92de-ac72891c3257,663,,AERmon ((isd.003)),,['AerChemMIP'],663,1448,898,,,,,,,,,,,,,
rec0ZRuWAaHwkwn7u,Oyr.cfc11,mole_concentration_of_cfc11_in_sea_water,Mole Concentration of CFC11 in Sea Water,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole\_concentration\_of\_X\_in\_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox\_expressed\_as\_nitrogen"". The chemical formula of CFC11 is CFCl3. The IUPAC name for CFC11 is trichloro-fluoro-methane.
",real,['ocean'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9a47c2-e5dd-11e5-8482-ac72891c3257,898,"Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Oyr ((isd.003)),['CMIP5'],,1290,962,898,,,,,,,,,,,,,
rec0a2LHtSQTyFLt5,Omon.bigthetaoga,sea_water_conservative_temperature,Global Average Sea Water Conservative Temperature,"Diagnostic should be contributed only for models using conservative temperature as prognostic field.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,"omip_scalar_fields, omip_scalars_high_priority",baa52994-e5dd-11e5-8482-ac72891c3257,207,,Omon ((isd.003)),,"['CMIP5', 'DAMIP']",207,1735,653,,,,,,,,,,,,,
rec0aLiyoktQ22mR8,Omon.frn,minus_tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation,Nitrogen Loss to Sediments and Through Denitrification,"""Content"" indicates a quantity per unit area.  The specification of a physical process by the phrase due\_to\_process means that the quantity named is a single term in a sum of terms which together compose the general quantity  named by omitting the phrase. 'Denitrification' is the conversion of nitrate into gaseous compounds such as nitric oxide, nitrous oxide and molecular nitrogen which are then emitted to the atmosphere.  'Sedimentation' is the sinking of particulate matter to the floor of a body of water. ""tendency\_of\_X"" means derivative of X with respect to time.
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,marine_bgc_sediments,baa106c0-e5dd-11e5-8482-ac72891c3257,693,,Omon ((isd.003)),['VIACSAB'],['VIACSAB'],693,926,898,,,['CMIP5'],,,,,,,,,,
rec0bKuiGzrbWghDh,Eday.tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,"Downward eastward wind stress at the surface
",real,['atmos'],['Eday'],['day'],CMIP6 CMOR variable,,,"dynvar_basic, DCPP_Wider",8b980e9a-4a5b-11e6-9cd2-ac72891c3257,175,,DCPP [DCPP-day],,"['DynVarMIP', 'HighResMIP']",315,263,175,down,,['DCPP'],,,,,,,,,,
rec0dJyeSxJlqJlqu,3hr.mrro,runoff_flux,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval.
",real,['land'],['3hr'],['3hr'],CMIP6 CMOR variable,,,WaterResources_subdaily,bab177b2-e5dd-11e5-8482-ac72891c3257,172,,3hr ((isd.003)),['VIACSAB'],"['CMIP5', 'VIACSAB']",440,303,172,,,,,,,,,,,,,
rec0ko9T8gAyypiIv,Omon.nh4os,mole_concentration_of_ammonium_in_sea_water,Surface Dissolved Ammonium Concentration,"Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,SO_BGC-cloud_BGC_monthly,c9192462-c5e8-11e6-84e6-5404a60d96b5,813,,Omon ((isd.003)),['CMIP5'],,1033,813,898,,,,,,,,,,,,,
rec0mmouY67YWldbL,Oyr.graz,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,Total Grazing of Phytoplankton by Zooplankton,"Total grazing of phytoplankton by zooplankton defined as tendency of moles of carbon per cubic metre.
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9f0e4c-e5dd-11e5-8482-ac72891c3257,565,,Oyr ((isd.003)),['VIACSAB'],['VIACSAB'],565,582,839,,,['CMIP5'],,,,,,,,,,
rec0pDuadpAJBllN9,EdayZ.utendogw,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,Eastward Acceleration Due to Orographic Gravity Wave Drag,"zonal mean; hence YZT
",real,['atmos'],['EdayZ'],['day'],CMIP6 CMOR variable,,,dynvar_basic,8b97ea3c-4a5b-11e6-9cd2-ac72891c3257,440,,DynVarMIP [DYVR_daily_b],,['DynVarMIP'],738,791,440,,,,,,,,,,,,,
rec0puoFdvOta0uxM,SImon.sisaltmass,sea_ice_mass_content_of_salt,Mass of Salt in Sea Ice per Area,"Total mass of all salt in sea ice divided by grid-cell area
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_state_monthly_advanced, paleo_cryosphere_low_priority",713cf6a8-faa7-11e6-bfb7-ac72891c3257,533,,SIMIP [seaicemon],,,829,1079,533,,,['SIMIP'],,,,,,,,,,
rec0qrNFv02FSSqxI,Lmon.cCwd,wood_debris_mass_content_of_carbon,Carbon Mass in Coarse Woody Debris,"Carbon mass per unit area in woody debris (dead organic matter composed of coarse wood.  It is distinct from litter)
",real,['land'],['Lmon'],['mon'],CMIP6 CMOR variable,,,,baa8a740-e5dd-11e5-8482-ac72891c3257,341,,Lmon ((isd.003)),"['CMIP5', 'VIACSAB']","['CMIP', 'VIACSAB']",341,1244,727,,,,,,,,,,,,,
rec0rZCpNr38H5CBN,AERmon.tntrl,tendency_of_air_temperature_due_to_longwave_heating,Tendency of Air Temperature Due to Longwave Radiative Heating,"longwave heating rates
",real,['aerosol'],['AERmon'],['mon'],CMIP6 CMOR variable,,,"aerchemmip_3d_monthly, cfmip_monthly",01d409fc-c792-11e6-aa58-5404a60d96b5,205,,AERmon ((isd.003)),,"['AerChemMIP', 'DAMIP', 'PMIP']",713,205,461,,,['CFMIP'],,,,,,,,,,
rec0shiG3WUeiCbxj,Emon.fNLitterSoil,nitrogen_mass_flux_into_soil_from_litter,Total Nitrogen Mass Flux from Litter to Soil,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Litter"" is dead plant material in or above the soil.
",real,['land'],['Emon'],['mon'],CMIP6 CMOR variable,,,"c4mip_land_cn_cycle_monthly, c4mip_land_nitrogen_cycle_tier1, FireMIP_monthly",8b80f638-4a5b-11e6-9cd2-ac72891c3257,588,,C4MIP [C_LandT1],,['C4MIP'],588,1339,956,,,,,,,,,,,,,
rec0stLZSopQoWn0p,Oyr.dissi14cabio,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,Abiotic Dissolved Inorganic Carbon-14 Concentration,"Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9db7cc-e5dd-11e5-8482-ac72891c3257,795,,Oyr ((isd.003)),,['CMIP5'],1345,795,1599,,,,,,,,,,,,,
rec0zLWvcBSRgG5UF,Omon.phnat,sea_water_ph_natural_analogue_reported_on_total_scale,Natural pH,"negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1 (natural component).
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,,c9235f04-c5e8-11e6-84e6-5404a60d96b5,958,"Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.
",Omon ((isd.003)),['CMIP5'],,1653,958,1463,,,,,,,,,,,,,
rec11oMlHhmb2uuQn,Emon.cLitterGrass,litter_mass_content_of_carbon,Carbon Mass in Litter on Grass Tiles,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface\_litter\_mass\_content\_of\_carbon and subsurface\_litter\_mass\_content\_of\_carbon has the standard name litter\_mass\_content\_of\_carbon.
",real,['land'],['Emon'],['mon'],CMIP6 CMOR variable,,,,e7070806-aa7f-11e6-9a4a-5404a60d96b5,861,,C4MIP [C_LandT2],['C4MIP'],,861,1357,1230,,,,,,,,,,,,,
rec14HzaYidUCtpMR,Oyr.difvho,ocean_vertical_heat_diffusivity,Ocean Vertical Heat Diffusivity,"Vertical/dianeutral diffusivity applied to prognostic temperature field.
",real,['ocean'],['Oyr'],['yr'],CMIP6 CMOR variable,,,omip_parameterizations,baa4ac8a-e5dd-11e5-8482-ac72891c3257,593,"Report on native horizontal grid as well. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Oyr ((isd.003)),,['FAFMIP'],1036,609,593,,,['CMIP5'],,,,,,,,,,
rec15aJY9e93NuAZt,Lmon.c3PftFrac,area_fraction,Percentage Cover by C3 Plant Functional Type,"Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).
",real,['land'],['Lmon'],['mon'],CMIP6 CMOR variable,,,AgLandUse,baa897e6-e5dd-11e5-8482-ac72891c3257,290,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).
",Lmon ((isd.003)),['CMIP5'],"['CMIP', 'PMIP', 'VIACSAB']",539,1178,290,,,,,,,,,,,,,
rec163KYAYxF2FxnV,E3hrPt.clcalipso2,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered),"CALIPSO Cloud Fraction Undetected by CloudSat
",real,['atmos'],['E3hrPt'],['3hrPt'],CMIP6 CMOR variable,,,,b7c6f9d2-7c00-11e6-bcdf-ac72891c3257,1401,,CFMIP [CF3hr_sim_new],,['CFMIP'],1750,1486,1401,,,,,,,,,,,,,
rec19fPeKSG2hceyK,Emon.tauvogw,,Northward Reynolds stress from orographic gravity wave parameterization,"Vertical flux of meridional momentum within the orographic GW parameterization
",real,['atmos'],['Emon'],['mon'],Under review,['Atmosphere'],In progress,dynvar_advanced,83bbfc83-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
rec1BTIqL8A9zCq03,CF3hr.reffclis,effective_radius_of_stratiform_cloud_ice_particles,Hydrometeor Effective Radius of Stratiform Cloud Ice,"This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,"cfmip_3hr, clouds_basic_instantaneous",bab4d330-e5dd-11e5-8482-ac72891c3257,1463,,CF3hr ((isd.003)),['CFMIP'],,1833,1585,1463,,,,,,,,,,,,,
rec1C4soBUZPVEhwx,CFday.cli,mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,"Calculated as the mass of cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
",real,['atmos'],['CFday'],['day'],CMIP6 CMOR variable,,,"cfmip_daily, clouds_basic_average, CFMIP_daily_3D",baaa7c28-e5dd-11e5-8482-ac72891c3257,66,,CFday ((isd.003)),,['CMIP5'],531,66,278,,,,,,,,,,,,,
rec1E0A3U4hwDOwbZ,Omon.phyfe,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,"sum of phytoplankton iron component concentrations
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,,ba9fede4-e5dd-11e5-8482-ac72891c3257,171,"Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.
",Omon ((isd.003)),,,706,171,564,,,"['C4MIP', 'CMIP5']",,,,,,,,,,
rec1EmFpitg9WnLwR,day.rsds,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,"Surface solar irradiance for UV calculations.
",real,['atmos'],['day'],['day'],CMIP6 CMOR variable,,,"baseline_daily, seaice_budget_energy_daily, temperature_variability_daily_highpriority, DAMIP_daily, aerchemmip_2d_daily, DCPP_Essential, AgModelCoreDaily, AgModelExpandedDaily, AgAirPollution, HeatHealthExpandedDaily, CHELSA_land_daily, biodiv_land_daily, seaice_budget_energy_daily, ISIMIPMinimalAtmos, CFMIP_baseline, paleo_permafrost, tipmip_baseline, landice_glaciers_allfreq",bab5ecd4-e5dd-11e5-8482-ac72891c3257,53,,day ((isd.003)),['VIACSAB'],"['CMIP', 'CMIP5', 'DCPP', 'LS3MIP', 'VIACSAB']",58,53,54,down,,,1 checked out of 1,,,,,,,,,
rec1Kl25eAKiOtavf,Oyr.ppdiaz,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diazotrophic_phytoplankton,Net Primary Mole Productivity of Carbon by Diazotrophs,"Primary (organic carbon) production by diazotroph components alone
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9ed300-e5dd-11e5-8482-ac72891c3257,1125,,Oyr ((isd.003)),,,1125,1210,1599,,,['CMIP5'],,,,,,,,,,
rec1LH5VP02Wyd4EH,Eday.rhVgt,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,Heterotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on vegetation type.
",real,['land'],['Eday'],['day'],Under review,['Land & land-ice'],,"Vegetation_type , plant_phenology",83bbfba7-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,In progress,,,,,
rec1NWFgAm5tY1Al5,6hrPlevPt.ta27,air_temperature,Air Temperature,"Air Temperature
",real,['atmos'],['6hrPlevPt'],['6hrPt'],CMIP6 CMOR variable,,,,f2ab3208-26b8-11e7-8344-ac72891c3257,9999,,HighResMIP [6hrPlev_intense],,,,,,,,['HighResMIP'],,,,,,,,,,
