,Compound Name,CF Standard Name (from MIP Variables),Title,Description,Type,Modeling Realm,Table,Frequency,Status,Theme,Atmosphere author team review,CMIP7 Variable Groups,UID,Min Rank,Processing Note,Provenance,Priority 2 (CMIP6 - OLD,Priority 1 (CMIP6) -- OLD,Rank by File Count,Rank by Volume,Rank by Submissions,Positive Direction,Impacts & adaptation author team review,Priority 3 (CMIP6 - OLD),Variable is included in ESM-BCV v1.3,Ocean & sea-ice author team review,Cross-thematic team review,Cross-thematic group review comment,Land & land-ice author team review,Priority 2 (CMIP6),Priority 1 (CMIP6),Atmosphere review comment,Priority 3 (CMIP6),Earth system author team review
recbogj8uJNZKJtak,Emon.va,northward_wind,Northward Wind,"Meridional wind (positive in a northward direction).
",real,['atmos'],['Emon'],['mon'],CMIP6 CMOR variable,,,FireMIP_monthly,cad8979a-6e00-11e7-9fbe-5404a60d96b5,313,,Emon,,['HighResMIP'],313,366,440,,,,,,,,,,,,,
recbpviYZm1sAvqKZ,3hr.tauuo,downward_x_stress_at_sea_water_surface,Sea Water Surface Downward X Stress,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.
",real,['ocean'],['3hr'],['3hr'],New,['Ocean & sea-ice'],,ISIMIP_oceanforcing_3hr,83bbfc62-7f07-11ef-9308-b1dd71e64bec,,"Report on native horizontal grid.
",,,,,,,down,,,,,,,,,,,,
recbrOH7RwFbtWxqk,Omon.vo,sea_water_y_velocity,Sea Water Y Velocity,"Prognostic y-ward velocity component resolved by the model.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,"baseline_monthly, DAMIP_monthly, surgemip_variables, Bjerknes_Index_ENSO, Hadley_Walker_Circulations, aerchemmip_3d_monthly, marine_bgc_baseline, paleo_ocean_3D, DCPP_Wider, SO_BGC-cloud_ocean_monthly, fish_model_expand_mon, dynamical_downscaling_ocean_core, tipmip_baseline, omip_vectors_high_priority",baa58b1e-e5dd-11e5-8482-ac72891c3257,10,"Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Omon ((isd.003)),"['DCPP', 'VIACSAB']","['CFMIP', 'CMIP', 'CMIP5', 'DAMIP', 'PMIP', 'VIACSAB']",48,10,39,,,['CDRMIP'],1 checked out of 1,,,,,,,,,
recbsCWDquAYaVkxq,Omon.dfeos,mole_concentration_of_dissolved_iron_in_sea_water,Surface Dissolved Iron Concentration,"dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,"SO_BGC-cloud_BGC_monthly, DCPP_Essential, FireMIP_monthly",c9194000-c5e8-11e6-84e6-5404a60d96b5,461,,Omon ((isd.003)),"['CMIP5', 'VIACSAB']","['CMIP', 'CMIP5', 'DCPP']",554,662,461,,,,,,,,,,,,,
recbsOnldFAX1zcyO,CFsubhr.tauu,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,"Downward eastward wind stress at the surface
",real,['atmos'],['CFsubhr'],['subhrPt'],CMIP6 CMOR variable,,,"cfmip_subhr, CFMIP_cfSites",80083e4c-f906-11e6-a176-5404a60d96b5,956,"This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.
",CFsubhr ((isd.003)),,['CMIP5'],1569,1162,956,down,,,,,,,,,,,,
recbsh6hgyQ0fWQYZ,Emon.opottemprmadvect,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,"The phrase ""residual mean advection"" refers to the sum of the model's resolved advective transport plus any parameterized advective transport. Parameterized advective transport includes processes such as parameterized mesoscale and submesoscale transport, as well as any other advectively parameterized transport. When the parameterized advective transport is represented in the model as a skew-diffusion rather than an advection, then the parameterized skew diffusion should be included in this diagnostic, since the convergence of skew-fluxes are identical (in the continuous formulation) to the convergence of advective fluxes.
",real,['ocean'],['Emon'],['mon'],CMIP6 CMOR variable,,,,8b9deb80-4a5b-11e6-9cd2-ac72891c3257,335,,FAFMIP [fafOmonB],['FAFMIP'],,1426,335,1230,,,,,,,,,,,,,
recby6boPG7Yuwu7t,AERmonZ.n2o,mole_fraction_of_nitrous_oxide_in_air,Mole Fraction of N2O,"Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.
",real,['aerosol'],['AERmonZ'],['mon'],CMIP6 CMOR variable,,,aerchemmip_2dZ_monthly,fda67476-96ec-11e6-b81e-c9e268aff03a,1159,,AERmonZ ((isd.003)),,['CMIP5'],1312,1574,1159,,,,,,,,,,,,,
recc1e8ktxFu1bTq5,SImon.sidmassdyn,tendency_of_sea_ice_amount_due_to_sea_ice_dynamics,Sea-Ice Mass Change from Dynamics,"Total change in sea-ice mass through dynamics-related processes (advection,...) divided by grid-cell area
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_budget_mass_monthly, paleo_cryosphere, paleo_cryosphere_medium_priority",711e3862-faa7-11e6-bfb7-ac72891c3257,290,,SIMIP [seaicemon],['SIMIP'],,578,942,290,,,,,,,,,,,,,
recc3QJhpUQRt9qjs,Emon.tauuogw,,Westward Reynolds stress from orographic gravity wave parameterization,"The vertical flux of zonal momentum within the orographic GW parameterization.
",real,['atmos'],['Emon'],['mon'],Under review,['Atmosphere'],In progress,dynvar_advanced,83bbfc85-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,In progress,,,,,,,,
recc4yr8vkYLNEkkv,day.hursmax,relative_humidity,Daily Maximum Near-Surface Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.
",real,['atmos'],['day'],['day'],CMIP6 CMOR variable,,,"AgModelExpandedDaily, AgWaterCore, AgWaterExt, HealthHeatCoreDaily, HeatHealthExpandedDaily, HealthPollutionDaily, CFMIP_baseline",5a071ff2-c77d-11e6-8a33-5404a60d96b5,144,"normally report this at 2 meters above the surface
",day ((isd.003)),['VIACSAB'],"['CMIP', 'CMIP5', 'LS3MIP', 'PMIP', 'VIACSAB']",182,187,144,,,,,,,,,,,,,
recc58BNZfdylLNBu,SImon.sifb,sea_ice_freeboard,Sea-Ice Freeboard,"Mean height of sea-ice surface (=snow-ice interface when snow covered) above sea level
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_state_monthly_advanced, paleo_cryosphere, paleo_cryosphere_medium_priority",714718d6-faa7-11e6-bfb7-ac72891c3257,427,,SIMIP [seaicemon],['SIMIP'],,712,1106,427,,,,,,,,,,,,,
recc6hpRbGoRAgTfd,AERmon.wetso4,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of SO4,"proposed name: tendency\_of\_atmosphere\_mass\_content\_of\_sulfate\_dry\_aerosol\_due\_to\_wet\_deposition
",real,['aerosol'],['AERmon'],['mon'],CMIP6 CMOR variable,,,aerchemmip_2d_monthly,19be330c-81b1-11e6-92de-ac72891c3257,382,,AERmon ((isd.003)),,"['AerChemMIP', 'GeoMIP', 'VIACSAB']",532,894,382,,,,,,,,,,,,,
recc6oNyVvo2fjU2k,Lmon.c4PftFrac,area_fraction,Percentage Cover by C4 Plant Functional Type,"Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).
",real,['land'],['Lmon'],['mon'],CMIP6 CMOR variable,,,AgLandUse,baa89f8e-e5dd-11e5-8482-ac72891c3257,290,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).
",Lmon ((isd.003)),['CMIP5'],"['CMIP', 'PMIP', 'VIACSAB']",542,1240,290,,,,,,,,,,,,,
