,Name,Title (from Variables (Import)),Model Count,Rank,Download Volume,Rank 2,Download Count,Rank 3,Min Rank,Field 10,Field 11,Field 12,Field 13,CMOR Variables (Import),Variables,Review Comment,In C3S
rec00gkkJivZVHqqM,CFmon.clcalipso,CALIPSO Percentage Cloud Cover,26.0,427.0,2731.63,413.0,1845,1067.0,413,cloud_area_fraction_in_atmosphere_layer,CALIPSO Percentage Cloud Cover,Percentage cloud cover in CALIPSO standard atmospheric layers. [40 height levels],"Temporal mean, Global field on 40 altitude levels [XY-H40] [tmean]",CFmon.clcalipso,CFmon.clcalipso,,
rec00sCcit7WreOD5,Efx.rsd,Downwelling Shortwave Radiation,10.0,956.0,2.53,1717.0,5227,665.0,665,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,Fluxes are requested at all levels,"Fixed, Atmospheric profile (model half-levels) [na-A] {spectband:}",Efx.rsd,Efx.rsd,,
rec02hnXffmMnUope,AERmon.dryso4,Dry Deposition Rate of SO4,28.0,382.0,258.95,887.0,8267,506.0,382,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,Dry Deposition Rate of SO4,,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.dryso4,AERmon.dryso4,,
rec02o1bUyKBvPxic,Oyr.phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,4.0,1463.0,225.25,932.0,1261,1163.0,932,mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,carbon concentration from the diazotrophic phytoplankton component alone,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.phydiaz,Oyr.phydiaz,,
rec072FCZKtNnbK5G,Eday.tgs,Temperature of Bare Soil,6.0,1295.0,71.25,1229.0,55,1685.0,1229,surface_temperature,Temperature of Bare Soil,Temperature of bare soil,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.tgs,Eday.tgs,,
rec09cc6cWL1qP2yO,Eday.mrtws,Terrestrial Water Storage,6.0,1295.0,109.71,1122.0,201,1543.0,1122,land_water_amount,Terrestrial Water Storage,canopy_and_surface_and_subsurface_water_amount,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.mrtws,Eday.mrtws,,
rec0DoioCIajujZlG,CFmon.pctisccp,ISCCP Mean Cloud Top Pressure,40.0,230.0,111.97,1119.0,4624,719.0,230,air_pressure_at_cloud_top,ISCCP Mean Cloud Top Pressure,time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html,"Temporal mean, Global field (single level) [XY-na] [amncl-twm]",CFmon.pctisccp,CFmon.pctisccp,,
rec0EJ5ZohJPCYsbS,Eday.tran,Transpiration,10.0,956.0,101.9,1138.0,691,1323.0,956,transpiration_flux,Transpiration,Transpiration,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.tran,Eday.tran,,
rec0G86In0r3LXcop,Efx.sandfrac,Sand Fraction,9.0,1069.0,0.03,1826.0,190,1555.0,1069,volume_fraction_of_sand_in_soil,Sand Fraction,Sand Fraction,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.sandfrac,Efx.sandfrac,,
rec0Hj9bQFF6zhBtS,Eday.dslw,Change in Soil Moisture,3.0,1599.0,120.76,1093.0,78,1651.0,1093,change_over_time_in_mass_content_of_water_in_soil,Change in Soil Moisture,,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.dslw,Eday.dslw,,
rec0IA1qSBJiNycgF,Oyr.dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,3.0,1599.0,376.08,795.0,615,1345.0,795,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,Abiotic Dissolved Inorganic Carbon-14 Concentration,Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.dissi14cabio,Oyr.dissi14cabio,,
rec0Ilim1xoAwl4Tw,AERmon.rlsaf,,1.0,1765.0,5.19,1663.0,1018,1222.0,1222,na,na,na,,,,"In ESGF, not requested",
rec0IqH0ohhDWKdoa,Odec.so,Sea Water Salinity,5.0,1401.0,44.67,1325.0,271,1501.0,1325,sea_water_salinity,Sea Water Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.  [Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.]","Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Odec.so,Odec.so,,
rec0J6UAYu9TUlOX6,AERmon.wetso4,Wet Deposition Rate of SO4,28.0,382.0,251.2,894.0,7516,532.0,382,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of SO4,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.wetso4,AERmon.wetso4,,
rec0Juczkhz7PcjTy,Omon.dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,5.0,1401.0,5816.79,280.0,2126,1008.0,280,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,Abiotic Dissolved Inorganic Carbon Concentration,"Abiotic Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration [Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.]","Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Omon.dissicabio,Omon.dissicabio,,
rec0L1ORt1QTx73K5,CF3hr.hurs,Near-Surface Relative Humidity,7.0,1230.0,6.75,1633.0,15,1771.0,1230,relative_humidity,Near-Surface Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C. [express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height]","Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height2m} [tpt]",CF3hr.hurs,CF3hr.hurs,,
rec0UPg5F4zvrgamM,CFmon.cltisccp,ISCCP Total Cloud Cover Percentage,43.0,209.0,155.73999999999998,1036.0,4782,703.0,209,cloud_area_fraction,ISCCP Total Cloud Cover Percentage,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen by the International Satellite Cloud Climatology Project (ISCCP) analysis. Includes both large-scale and convective cloud.  (MODIS). Includes both large-scale and convective cloud.","Temporal mean, Global field (single level) [XY-na] [am-tm]",CFmon.cltisccp,CFmon.cltisccp,,
rec0WQHjhoVvV0dVq,Emon.sw17O,,,,,,,,9999,,,,,,Emon.sw17O,"Requested, not published",
rec0WgBDdTWKbKkPy,Oday.sos,Sea Surface Salinity,45.0,196.0,14744.38,167.0,9878,461.0,167,sea_surface_salinity,Sea Surface Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.  [Report on the ocean horizontal native grid.]","Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Oday.sos,Oday.sos,,
rec0X0MG9kg1zAdGA,Eday.prsnsn,Fraction of Snowfall (Including Hail and Graupel) on Snow,2.0,1681.0,3.1,1703.0,35,1714.0,1681,mass_fraction_of_solid_precipitation_falling_onto_surface_snow,Fraction of Snowfall (Including Hail and Graupel) on Snow,mass_fraction_of_snowfall_onto_snow,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.prsnsn,Eday.prsnsn,,
rec0ZGw5Yq9vNEneB,Oclim.difvmbo,,,,,,,,9999,,,,,,Oclim.difvmbo,"Requested, not published",
rec0dEpvwiVxt1uzm,Ofx.deptho,Sea Floor Depth Below Geoid,65.0,110.0,51.05,1306.0,13981,392.0,110,sea_floor_depth_below_geoid,Sea Floor Depth Below Geoid,Ocean bathymetry. Reported here is the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells. [save both native and spherical],"No temporal dimensions ... fixed field, Global field (single level) [XY-na] [amns-fx]",Ofx.deptho,Ofx.deptho,,True
rec0eUhY3rozY71NR,Oyr.dissic,Dissolved Inorganic Carbon Concentration,20.0,548.0,2628.36,420.0,16615,349.0,349,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,Dissolved Inorganic Carbon Concentration,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.dissic,Oyr.dissic,,
rec0hR0whgOQW5K07,Esubhr.tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,5.0,1401.0,572.03,688.0,100,1634.0,688,tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,alevel site time1,"Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles at specified sites [S-A] [tpt]",Esubhr.tntrlcs,Esubhr.tntrlcs,,
rec0ifCOf80z12nAs,Omon.hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,28.0,382.0,497.34,719.0,35685,216.0,216,temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,This is defined as 'where ice_free_sea over sea' [Report on native horizontal grid.],"Temporal mean, Global field (ice free sea) [XY-na] [amnifs-tmn]",Omon.hfevapds,Omon.hfevapds,,
rec0j4AhWpM15Y10G,AERmon.jno2,Photolysis Rate of NO2,12.0,839.0,1584.89,508.0,4055,773.0,508,photolysis_rate_of_nitrogen_dioxide,Photolysis Rate of NO2,Photolysis rate of nitrogen dioxide (NO2),"Temporal mean, Global field on model atmosphere levels [XY-A]",AERmon.jno2,AERmon.jno2,,
rec0mo9k4jzPHl6yf,Emon.gppTree,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],17.0,622.0,57.77,1275.0,3908,791.0,622,gross_primary_productivity_of_biomass_expressed_as_carbon,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],Total GPP of trees in the grid cell,"Temporal mean, Global field (single level) [XY-na] [amtr-twm]",Emon.gppTree,Emon.gppTree,,
rec0oIbxcugNaX0zM,Omon.popos,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,7.0,1230.0,74.62,1216.0,1727,1093.0,1093,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,sum of particulate organic phosphorus component concentrations,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Omon.popos,Omon.popos,,
rec0qNQkn9lKSDuAY,EdayZ.psitem,Transformed Eulerian Mean Mass Streamfunction,11.0,898.0,230.64,927.0,1550,1122.0,898,atmosphere_transformed_eulerian_mean_meridional_overturning_mass_streamfunction,Transformed Eulerian Mean Mass Streamfunction,zonal mean; hence YZT,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",EdayZ.psitem,EdayZ.psitem,,
rec0smyTSh8LHKKC9,Oyr.phycalc,,,,,,,,9999,,,,,,Oyr.phycalc,"Requested, not published",
rec0uoevly2klFnbX,Emon.vegHeightPasture,Height of Pastures,1.0,1765.0,5.78,1654.0,274,1499.0,1499,canopy_height,Height of Pastures,Vegetation height averaged over the pasture fraction of a grid cell.,"Temporal mean, Global field (single level, pastures) [XY-na] [amp-twm]",Emon.vegHeightPasture,Emon.vegHeightPasture,,
rec0wKFuCvT7TyooV,SImon.sndmassdyn,Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics,16.0,653.0,125.96,1087.0,3732,805.0,653,tendency_of_surface_snow_amount_due_to_sea_ice_dynamics,Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics,The rate of change of snow mass through advection with sea ice divided by sea-ice area,"Temporal mean, Global field (single level) [XY-na] [amnsi-twm]",SImon.sndmassdyn,SImon.sisndmassdyn,,
rec0xPb69tdgWc00s,Emon.fNLandToOcean,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,4.0,1463.0,18.13,1490.0,8600,493.0,493,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_into_sea_from_rivers,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,leached nitrogen etc that goes into run off or river routing and finds its way into ocean should be reported here.,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Emon.fNLandToOcean,Emon.fNLandToOcean,,
rec0xyceKGBHerTxG,Omon.phydiatos,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,11.0,898.0,272.03,875.0,6603,571.0,571,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,carbon from the diatom phytoplankton component concentration alone,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Omon.phydiatos,Omon.phydiatos,,
rec0yA0eM13BMHP7i,Emon.swtoaasdust,All-Sky Shortwave Flux Due to Dust at Toa,1.0,1765.0,0.04,1824.0,1,1847.0,1765,toa_instantaneous_shortwave_forcing,All-Sky Shortwave Flux Due to Dust at Toa,"Instantaneous forcing is the radiative flux change caused instantaneously by an imposed change in radiative forcing agent (greenhouse gases, aerosol, solar radiation, etc.).","Temporal mean, Global field (single level) [XY-na] [am-tm]",Emon.swtoaasdust,Emon.swtoaasdust,,
rec0zWQvvPidB3Lse,AERmon.bldep,Boundary Layer Depth,31.0,332.0,195.55,982.0,10529,444.0,332,atmosphere_boundary_layer_thickness,Boundary Layer Depth,Boundary layer depth,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.bldep,AERmon.bldep,,
rec13hrFgaQ1f5rd1,Amon.ch4,Mole Fraction of CH4,12.0,839.0,2904.4300000000003,403.0,7494,533.0,403,mole_fraction_of_methane_in_air,Mole Fraction of CH4,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. [For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If CH4 is spatially uniform, omit this field, but report Global Mean Mole Fraction of CH4 (see the table entry after the next one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?]","Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]",Amon.ch4,Amon.ch4,,
rec14jtOuNZLIla11,SImon.sidragtop,Atmospheric Drag Coefficient,9.0,1069.0,32.62,1390.0,1613,1106.0,1069,surface_drag_coefficient_for_momentum_in_air,Atmospheric Drag Coefficient,Atmospheric drag coefficient that is used to calculate the atmospheric momentum drag on sea ice,"Temporal mean, Global field (single level) [XY-na] [amnsi-twm]",SImon.sidragtop,SImon.sidragtop,,
rec14pSvSzCndgJfy,Omon.graz,Total Grazing of Phytoplankton by Zooplankton,12.0,839.0,15594.28,161.0,5218,667.0,161,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,Total Grazing of Phytoplankton by Zooplankton,Total grazing of phytoplankton by zooplankton defined as tendency of moles of carbon per cubic metre.,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Omon.graz,Omon.graz,,
rec15fW4CZgMyqBum,Emon.osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,6.0,1295.0,500.24,717.0,250,1514.0,717,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,Tendency of salt content for a grid cell from parameterized submesoscale eddy advection.,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Emon.osaltpsmadvect,Emon.osaltpsmadvect,,
rec15yBUX59Ib4q5q,ImonAnt.litemptop,Temperature at Top of Ice Sheet Model,4.0,1463.0,6.11,1645.0,385,1441.0,1441,temperature_at_top_of_ice_sheet_model,Temperature at Top of Ice Sheet Model,quantity averaged over ice sheet (grounded ice sheet and floating ice shelf) only. Needed to analyse the impact of downscaling methods,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amni-twmn]",ImonAnt.litemptop,ImonAnt.litemptop,,
rec16sQqkxEopB9QW,Emon.co2s,Atmosphere CO2,3.0,1599.0,12.53,1543.0,193,1552.0,1543,mole_fraction_of_carbon_dioxide_in_air,Atmosphere CO2,"As co2, but only at the surface","Temporal mean, Global field (single level) [XY-na] [am-tm]",Emon.co2s,Emon.co2s,,
rec18K9MV1OvpFmpL,CFsubhr.tntr,Tendency of Air Temperature Due to Radiative Heating,9.0,1069.0,3568.68,368.0,874,1257.0,368,tendency_of_air_temperature_due_to_radiative_heating,Tendency of Air Temperature Due to Radiative Heating,Tendency of Air Temperature due to Radiative Heating,"Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles at specified sites [S-A] [tpt]",CFsubhr.tntr,CFsubhr.tntr,,
rec18cQBBF1cvfdqJ,Emon.fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],28.0,382.0,174.96,1006.0,50733,187.0,187,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],Net Carbon Mass Flux into Atmosphere due to Land Use Change,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Emon.fLuc,Emon.fLuc,,
rec18hcsUnaRsMqOQ,Emon.vegHeightShrub,Height of Shrubs,6.0,1295.0,19.79,1478.0,877,1256.0,1256,canopy_height,Height of Shrubs,Vegetation height averaged over the shrub fraction of a grid cell.,"Temporal mean, Global field (single level) [XY-na] [ams-twm]",Emon.vegHeightShrub,Emon.vegHeightShrub,,
rec1BK694X2gHoa32,E1hr.tntr27,,,,,,,,9999,,,,,,E1hr.tntr,"Requested, not published",
rec1C7PypEAoxoU7D,ImonGre.libmassbfgr,,,,,,,,9999,,,,,,ImonGre.libmassbfgr,"Requested, not published",
rec1G4Oj5c7qh08cr,Eday.hursminCrop,,,,,,,,9999,,,,,,Eday.hursminCrop,"Requested, not published",
rec1GOdtciqQhtceD,Oyr.bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,10.0,956.0,886.7,600.0,3326,833.0,600,mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,sum of particulate silica component concentrations,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.bsi,Oyr.bsi,,
rec1H802o0LChEU2d,CFsubhr.huss,Near-Surface Specific Humidity,9.0,1069.0,76.92,1206.0,81,1648.0,1069,specific_humidity,Near-Surface Specific Humidity,"Near-surface (usually, 2 meter) specific humidity. [This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.]","Instantaneous value (i.e. synoptic or time-step value), Site (specific locations requested by CFMIP) [S-na] {:height2m} [apt-tpt]",CFsubhr.huss,CFsubhr.huss,,
rec1ICBh9jRf3hjDU,Eyr.cVeg,Carbon Mass in Vegetation,12.0,839.0,7.08,1622.0,6440,580.0,580,vegetation_carbon_content,Carbon Mass in Vegetation,Carbon mass per unit area in vegetation.,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnla-tpt]",Eyr.cVeg,Eyr.cVeg,,
rec1KerkwALdiRVJ2,Emon.xgwdparam,Eastward Gravity Wave Drag,3.0,1599.0,54.81,1288.0,17,1763.0,1288,atmosphere_eastward_stress_due_to_gravity_wave_drag,Eastward Gravity Wave Drag,Parameterised x-component of gravity wave drag,"Temporal mean, Global field on model atmosphere levels [XY-A]",Emon.xgwdparam,Emon.xgwdparam,,
rec1LgIWAB2C25dKD,Odec.bigthetao,,,,,,,,9999,,,,,,Odec.bigthetao,"Requested, not published",
rec1M7jXQwS3ubRRO,Emon.cVegTree,Carbon Mass in Vegetation on Tree Tiles,15.0,692.0,79.62,1193.0,4920,694.0,692,vegetation_carbon_content,Carbon Mass in Vegetation on Tree Tiles,"'Content' indicates a quantity per unit area. 'Vegetation' means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. 'producers' of biomass using carbon obtained from carbon dioxide.","Temporal mean, Global field (single level) [XY-na] [amtr-twm]",Emon.cVegTree,Emon.cVegTree,,
rec1Muzop27WwVrYI,E3hrPt.cllcalipso,CALIPSO Low Level Cloud Cover Percentage,8.0,1159.0,2.21,1727.0,17,1766.0,1159,cloud_area_fraction_in_atmosphere_layer,CALIPSO Low Level Cloud Cover Percentage,CALIPSO Low Level Cloud Fraction,"Instantaneous, Global field (single level) [XY-na] {:p840} [amn-tpt]",E3hrPt.cllcalipso,E3hrPt.cllcalipso,,
rec1NDp99nNL9GTjG,SImon.sfdsi,Downward Sea Ice Basal Salt Flux,23.0,481.0,108.62,1126.0,3394,831.0,481,downward_sea_ice_basal_salt_flux,Downward Sea Ice Basal Salt Flux,"This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.","Temporal mean, Global field (single level) [XY-na] [amnsi-twm]",SImon.sfdsi,SImon.sfdsi,,
rec1NILny9ZVn2TrP,SImon.sistresave,Average Normal Stress in Sea Ice,8.0,1159.0,28.35,1411.0,700,1318.0,1159,sea_ice_average_normal_horizontal_stress,Average Normal Stress in Sea Ice,Average normal stress in sea ice (first stress invariant),"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnsi-tpt]",SImon.sistresave,SImon.sistressave,,
rec1RROvxj3dGmeSs,E3hrPt.clhcalipso,CALIPSO High Level Cloud Area Percentage,8.0,1159.0,1.39,1747.0,19,1754.0,1159,cloud_area_fraction_in_atmosphere_layer,CALIPSO High Level Cloud Area Percentage,CALIPSO High Level Cloud Fraction,"Instantaneous, Global field (single level) [XY-na] {:p220} [amn-tpt]",E3hrPt.clhcalipso,E3hrPt.clhcalipso,,
rec1XfcrUytvGYsGP,CFmon.rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,14.0,727.0,3814.81,355.0,2619,925.0,355,downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,Downwelling clear-sky longwave radiation calculated using carbon dioxide concentrations increased fourfold (includes the fluxes at the surface and TOA),"Temporal mean, Global field on model atmosphere half-levels [XY-AH] [tmean]",CFmon.rldcs4co2,CFmon.rldcs4co2,,
rec1ZBnHKP3H95Gwz,AERmon.emibvoc,Total Emission Rate of Biogenic NMVOC,10.0,956.0,28.9,1407.0,6586,572.0,572,tendency_of_atmosphere_mass_content_of_biogenic_nmvoc_expressed_as_carbon_due_to_emission,Total Emission Rate of Biogenic NMVOC,"Integrate 3D emission field vertically to 2d field._If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file.","Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.emibvoc,AERmon.emibvoc,,
rec1e9ia4zNOwQN0V,6hrPlev.hus,,24.0,461.0,14563.42,168.0,4347,752.0,168,na,na,na,,,,"In ESGF, not requested",
rec1gwFh0E2gJmj5h,E3hr.rsdt,TOA Incident Shortwave Radiation,9.0,1069.0,3590.9,367.0,6080,602.0,367,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,TOA incident shortwave radiation,"Temporal mean, Global field (single level) [XY-na] [am-tm]",E3hr.rsdt,E3hr.rsdt,,
rec1gwhWXTXdbMtv2,IyrAnt.yvelsurf,,,,,,,,9999,,,,,,IyrAnt.yvelsurf,"Requested, not published",
rec1lWMSOCrBvPzJy,Omon.tauvcorr,Surface Downward Y Stress Correction,2.0,1681.0,0.41,1786.0,13,1778.0,1681,downward_y_stress_correction_at_sea_water_surface,Surface Downward Y Stress Correction,"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc. [If this does not vary from one year to the next, report only a single year. Report on native horizontal grid.]","Temporal mean, Global field (single level) [XY-na] [tmean] (optionally on vertices)",Omon.tauvcorr,Omon.tauvcorr,,
rec1oD3HkJjgtrXKW,E3hrPt.clcalipso2,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered),5.0,1401.0,18.79,1486.0,19,1750.0,1401,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered),CALIPSO Cloud Fraction Undetected by CloudSat,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] [amn-tpt]",E3hrPt.clcalipso2,E3hrPt.clcalipso2,,
rec1rQiBOeG9PChpx,Emon.prCrop,,,,,,,,9999,,,,,,Emon.prCrop,"Requested, not published",
rec1stx028UA70Cgk,Omon.msftbarot,Ocean Barotropic Mass Streamfunction,46.0,190.0,2549.58,422.0,135866,101.0,101,ocean_barotropic_mass_streamfunction,Ocean Barotropic Mass Streamfunction,Streamfunction or its approximation for free surface models. See OMDP document for details. [Report on native horizontal grid as well as on a spherical latitude/longitude grid.],"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Omon.msftbarot,Omon.msftbarot,,
rec1suIRtHr8AhgXL,Eday.hfsbl,Energy of Sublimation,4.0,1463.0,76.25,1211.0,1211,1177.0,1177,surface_upward_latent_heat_flux_due_to_sublimation,Energy of Sublimation,Energy of sublimation,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.hfsbl,Eday.hfsbl,,
rec1vLKBylTgJhnT1,CFday.cltisccp,ISCCP Total Cloud Cover Percentage,22.0,508.0,736.64,642.0,1937,1049.0,508,cloud_area_fraction,ISCCP Total Cloud Cover Percentage,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen by the International Satellite Cloud Climatology Project (ISCCP) analysis. Includes both large-scale and convective cloud.  (MODIS). Includes both large-scale and convective cloud.","Temporal mean, Global field (single level) [XY-na] [am-tm]",CFday.cltisccp,CFday.cltisccp,,
rec1xy6ezTdA7REuA,AERmon.emiso2,Total Emission Rate of SO2,28.0,382.0,239.11,915.0,8746,490.0,382,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,Total Emission Rate of SO2,Integrate 3D emission field vertically to 2d field.,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.emiso2,AERmon.emiso2,,
rec21BAO5TMdViDiP,AERmon.emico,Total Emission Rate of CO,10.0,956.0,55.32,1285.0,4983,686.0,686,tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,Total Emission Rate of CO,Integrate 3D emission field vertically to 2d field.,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.emico,AERmon.emico,,
rec22WrFzN03Z7r6N,CFmon.clis,Mass Fraction of Stratiform Cloud Ice,9.0,1069.0,616.43,673.0,1230,1171.0,673,mass_fraction_of_stratiform_cloud_ice_in_air,Mass Fraction of Stratiform Cloud Ice,Calculated as the mass of stratiform cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,"Temporal mean, Global field on model atmosphere levels [XY-A]",CFmon.clis,CFmon.clis,,
