,Name,Title (from Variables (Import)),Model Count,Rank,Download Volume,Rank 2,Download Count,Rank 3,Min Rank,Field 10,Field 11,Field 12,Field 13,CMOR Variables (Import),Variables,Review Comment,In C3S
recXkx7b0AQVaAVEH,Emon.fracLut,Percentage of Grid Cell for Each Land-Use Tile,25.0,440.0,248.65,898.0,24725,279.0,279,area_fraction,Percentage of Grid Cell for Each Land-Use Tile,"End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5*0.2 = 0.1)","Temporal mean, Global field (single level) [XY-na] {landUse:} [amnlax-tmn]",Emon.fracLut,Emon.fracLut,,
recXlAyuIOtUSD7P1,Emon.vegFrac,Total Vegetated Percentage Cover,38.0,248.0,164.83,1020.0,35498,217.0,217,area_fraction,Total Vegetated Percentage Cover,"Percentage of grid cell that is covered by vegetation.This SHOULD be the sum of tree, grass (natural and pasture), crop and shrub fractions.","Temporal mean, Global field (single level) [XY-na] {:typeveg} [amnla-tmn]",Emon.vegFrac,Emon.vegFrac,,
recXmXqRsrSEX8boc,E3hrPt.solbnd,TOA Solar Irradiance for Each Band,4.0,1463.0,98.17,1149.0,176,1566.0,1149,toa_incoming_shortwave_flux,TOA Solar Irradiance for Each Band,Solar irradiance at a horizontal surface at top of atmosphere.,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {spectband:} [tpt]",E3hrPt.solbnd,E3hrPt.solbnd,,
recXmuTWrtIDEd38o,6hrPlev.va,,1.0,1765.0,None,1848.0,None,1848.0,1765,na,na,na,,,,"In ESGF, not requested",
recXpuauBd1cSmjyf,IfxGre.topg,Bedrock Altitude,4.0,1463.0,0.16,1804.0,245,1519.0,1463,bedrock_altitude,Bedrock Altitude,The bedrock topography beneath the land ice,"Time invariant, Greenland Polar Stereographic Grid, Grounded [XYG-na] [amgi-fx] ",IfxGre.topg,IfxGre.topg,,
recXqA2a1PVHC6jg3,E3hrPt.va,,11.0,898.0,20794.2,126.0,5825,622.0,126,na,na,na,,,,"In ESGF, not requested",
recXqa9uoizIrVRg0,CFsubhr.mc,Convective Mass Flux,10.0,956.0,845.13,610.0,280,1494.0,610,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,"The net mass flux should represent the difference between the updraft and downdraft components.  This is calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the updrafts). [Report on model half-levels (i.e., interfaces between model layers).]","Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles (half levels) at specified sites [S-AH] [tpt]",CFsubhr.mc,CFsubhr.mc,,
recXvqOVymk5ldaY3,Amon.rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,98.0,15.0,3558.44,369.0,330614,60.0,15,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,Surface solar irradiance clear sky for UV calculations,"Temporal mean, Global field (single level) [XY-na] [am-tm]",Amon.rsdscs,Amon.rsdscs,,
recXwE3AHFjiNgh38,Oyr.fgco2abio,Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],5.0,1401.0,16.02,1504.0,755,1297.0,1297,surface_downward_mass_flux_of_carbon_dioxide_abiotic_analogue_expressed_as_carbon,Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],Gas exchange flux of abiotic CO2 (positive into ocean),"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Oyr.fgco2abio,Oyr.fgco2abio,,
recY5vJzq7KbKRNUy,Oyr.bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,7.0,1230.0,784.3,631.0,2954,872.0,631,tendency_of_mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_due_to_biological_processes,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,Net of biological terms in time rate of change of dissolved inorganic carbon,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.bddtdic,Oyr.bddtdic,,
recY8i2bC2zH4o87y,Amon.mc,Convective Mass Flux,42.0,220.0,11515.300000000001,191.0,10597,441.0,191,atmosphere_net_upward_convective_mass_flux,Convective Mass Flux,"The net mass flux should represent the difference between the updraft and downdraft components.  The flux is computed as the mass divided by the area of the grid cell. [Report on model half-levels (i.e., model layer bounds and not standard pressures).]","Temporal mean, Global field on model atmosphere half-levels [XY-AH] [tmean]",Amon.mc,Amon.mc,,
